fao_item_code,fao_item,avg,wavg,extr_rate_world_mt/mt
448,Sweet Corn Prep. or Pres,0.65335,,0.65335
450,Dried Mushrooms,0.2335714285714286,,0.2335714285714286
451,Canned Mushrooms,0.8794117647058823,,0.8794117647058823
464,Vegetables Dried nes,0.20000000000000004,,0.20000000000000004
465,Vegetables Canned nes,0.775,,0.775
466,Juice of Vegetables nes,0.6075,,0.6075
469,Vegetables Dehydrated,0.2481081081081081,,0.2481081081081081
471,Vegetables Pr by Vinegar,1.0762857142857143,,1.0762857142857143
472,Vegetables Prepared nes,0.7810493827160494,,0.7810493827160494
473,Vegetables Frozen,0.8925675675675675,,0.8925675675675675
474,Veg. in Temp Preservativ,0.9344736842105262,,0.9344736842105262
475,Veg.Prep or Pres.Frozen,0.91,,0.91
476,Homogenized Veget. Prep.,0.7470588235294118,,0.7470588235294118
491,Oranjuice Single-Strengt,0.5418785714285714,,0.5418785714285714
492,Oranjuice Concentrated,0.16884166666666667,,0.16884166666666667
496,Tangerine Juice,0.09125,,0.09125
498,Lemonjuice Single-Streng,0.4640384615384615,,0.4640384615384615
499,Lemonjuice Concentrated,0.16590909090909092,,0.16590909090909092
509,Grapefruitjuice Sing-Str,0.535372972972973,,0.535372972972973
510,Grapefruitjuice Concentr,0.22197058823529411,,0.22197058823529411
513,Citrusjuice Single-Stren,0.5099180327868853,,0.5099180327868853
514,Citrusjuice Concentrated,0.1687878787878788,,0.1687878787878788
517,Ferm. Beverages Exc Wine,0.6056225352112676,,0.6056225352112676
518,Applejuice Single Streng,0.6418333333333333,,0.6418333333333333
519,Applejuice Concentrated,0.25930697674418607,,0.25930697674418607
527,Dry Apricots,0.274456,,0.274456
537,"Plums, Dried (Prunes)",0.316684375,,0.316684375
561,Raisins,0.2601454545454545,,0.2601454545454545
562,Grape Juice,0.7252941176470589,,0.7252941176470589
563,Must of Grapes,0.7717736842105264,,0.7717736842105264
564,Wine,0.7102594202898551,0.7223760440414838,0.7223760440414838
565,Vermouths and Similar,0.970967741935484,,0.970967741935484
566,Marc of Grapes,0.2067741935483871,,0.2067741935483871
570,"Figs, Dried",0.3226125,,0.3226125
575,"Pineapples, Canned",0.5223542857142857,,0.5223542857142857
576,Pineapplejuice Sing-Stre,0.34778571428571425,,0.34778571428571425
580,Pineapplejuice Concentr.,0.141875,,0.141875
583,Mango Juice,0.11923076923076924,,0.11923076923076924
584,Mango Pulp,0.6638461538461538,,0.6638461538461538
604,Fruit Tropical Dried nes,0.27214285714285713,,0.27214285714285713
620,Fruit Dried nes,0.30291666666666667,,0.30291666666666667
622,Fruit Juice nes,0.5736011494252874,,0.5736011494252874
623,Fruit Prepared nes,0.707391304347826,,0.707391304347826
624,Flour of Fruit,0.23756097560975611,,0.23756097560975611
625,"Fruit,Nut,Peel,Sugar Prs",0.3,,0.3
626,Homogen.Cooked Fruit Pre,0.8011363636363636,,0.8011363636363636
628,Fruit Pulp for Feed,0.34620253164556963,,0.34620253164556963
633,Beverages Non-Alcoholic,4.397225773195876,,4.397225773195876
634,Beverages Dist Alcoholic,0.44242096774193546,,0.44242096774193546
652,Veg Products for Feed,16.6667,,16.6667
654,Dregs from Brewing+Dist.,0.36590909090909096,,0.36590909090909096
662,Cocoa Paste,0.7996842105263158,,0.7996842105263158
663,Cocoa Husks+Shell,0.19957894736842105,,0.19957894736842105
664,Cocoa Butter,0.47513333333333335,,0.47513333333333335
665,Cocoa Powder and Cake,0.5240168539325843,,0.5240168539325843
666,Chocolate Products nes,4.921156451612903,,4.921156451612903
846,Gluten Feed and Meal,1.0588235294117647,,1.0588235294117647
870,"Beef and Veal,Boneless",0.7328626865671641,,0.7328626865671641
871,Cattle Butcher Fat,0.13976923076923078,,0.13976923076923078
872,Beef Dried Salt Smoked,0.4725882352941177,,0.4725882352941177
873,Meat Extracts,0.24122272727272726,,0.24122272727272726
874,Sausages Beef and Veal,0.8444444444444446,,0.8444444444444446
875,Beef Preparations,0.7620366197183098,,0.7620366197183098
877,Homogenized Meat Prep.,0.845,,0.845
878,Liver Preparations,0.8428571428571429,,0.8428571428571429
885,"Cream, Fresh",0.1409421875,0.1666046628852479,0.1666046628852479
886,Butter of Cow Milk,0.045567543859649125,0.046346001126701335,0.046346001126701335
887,Ghee (From Cow Milk),0.0478764705882353,0.04860765518051916,0.04860765518051916
888,Skim Milk of Cows,0.9252282258064517,0.8989980821578454,0.8989980821578454
889,"Whole Milk,Condensed",0.3715727272727273,1.1477558803466288,1.1477558803466288
890,"Whey, Condensed",0.24150476190476192,0.24686412753880907,0.24686412753880907
891,Yoghurt,0.8420625,0.8132537663763522,0.8132537663763522
892,Yogurt Concentr.Or Not,0.8072139534883721,,0.8072139534883721
893,"Butterm,Curdl,Acid.Milk",0.9065780487804878,,0.9065780487804878
894,"Whole Milk, Evaporated",0.5384612903225806,0.4929834966827903,0.4929834966827903
895,"Skim Milk, Evaporated",0.2981833333333333,0.24386203581102714,0.24386203581102714
896,"Skim Milk, Condensed",0.35747,0.3578069983963767,0.3578069983963767
897,Dry Whole Cow Milk,0.1309186440677966,0.1270994062006809,0.1270994062006809
898,Dry Skim Cow Milk,0.10940178571428572,0.09773545895366258,0.09773545895366258
899,Dry Buttermilk,0.0962888888888889,0.09467851358859918,0.09467851358859918
900,Dry Whey,0.07552307692307693,0.07202928826018093,0.07202928826018093
901,Cheese (Whole Cow Milk),0.13489354838709677,0.13340965590437415,0.13340965590437415
903,"Whey, Fresh",0.6884641509433962,,0.6884641509433962
904,Cheese (Skim Cow Milk),0.15880444444444444,0.19474945555667958,0.19474945555667958
905,Whey Cheese,0.17571428571428574,,0.17571428571428574
907,Processed Cheese,1.008,,1.008
909,Prod.Of Nat.Milk Constit,0.35250000000000004,,0.35250000000000004
910,Ice Cream and Edible Ice,1.0,,1.0
917,Casein,0.030156756756756754,,0.030156756756756754
952,Butter of Buffalo Milk,0.05486,0.06598631256688779,0.06598631256688779
953,Ghee (From Buffalo Milk),0.051000000000000004,0.05347459869821278,0.05347459869821278
954,Skim Milk of Buffalo,0.9261111111111112,,0.9261111111111112
955,Cheese of Buffalo Milk,0.18883333333333333,0.2390490553195162,0.2390490553195162
983,Butter+Ghee (Sheep Milk),0.05099,0.04608759980861845,0.04608759980861845
984,Cheese of Sheep Milk,0.2042081081081081,0.20498192859874056,0.20498192859874056
985,Skim Sheep Milk,0.938,,0.938
1021,Cheese of Goat Milk,0.17477428571428572,0.1573052956086585,0.1573052956086585
1038,Pork,0.7086970149253732,,0.7086970149253732
1039,Bacon-Ham of Pigs,0.8210000000000001,,0.8210000000000001
1040,Pig Butcher Fat,0.18692089552238805,,0.18692089552238805
1041,Sausages Pig Meat,0.8721428571428572,,0.8721428571428572
1042,Meat Preparations Pigs,0.8438,,0.8438
1043,Lard,0.801058024691358,0.7854878855730503,0.7854878855730503
1060,Fat Liver Prep(Foie Gras,0.8963157894736843,,0.8963157894736843
1061,Meat Canned Chicken,0.8867584905660378,,0.8867584905660378
1063,Eggs Liquid Hen,0.8449666666666666,,0.8449666666666666
1064,Eggs Dry Whole Yolks Hen,0.2513720930232558,,0.2513720930232558
1065,Fat of Poultry,1.0,,1.0
1066,Fat of Poultry Rendered,0.8142857142857143,,0.8142857142857143
1164,"Meat, Dried, nes",0.4869537037037037,,0.4869537037037037
1167,Offals nes,0.9083333333333333,,0.9083333333333333
1168,Animal Oils and Fats nes,0.9618421052631578,,0.9618421052631578
1172,Meat Prepared nes,0.8509433962264151,,0.8509433962264151
1225,Tallow,0.8240942028985507,0.8503760423510055,0.8503760423510055
1241,Liquid Margarine,1.05,,1.05
1242,Margarine + Shortening,1.1804112359550563,1.1246472333315052,1.1246472333315052
1243,Fat Preparations nes,1.0152071428571428,,1.0152071428571428
1274,Oils Boiled etc,0.9833333333333333,,0.9833333333333333
1275,Oils Hydrogenated,1.1174490909090908,,1.1174490909090908
