country_code,country,country_iso_code,oecd,fishstat_country,gleam_country,region,gleam_region,food_loss_region,wf_country_crops,wf_country_animals,notes,income_class
143,Morocco,MAR,no,Morocco,Morocco,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Morocco,Morocco,,Lower middle income
144,Mozambique,MOZ,no,Mozambique,Mozambique ,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Mozambique,Mozambique,,Low income
145,Micronesia (Federated States of),FSM,no,"Micronesia, Fed.States of",Federated States of Micronesia,Oceania,Oceania,n_america_and_oceania,"Micronesia, Federated States of","Micronesia,Fed States of",,Lower middle income
146,Republic of Moldova,MDA,no,"Moldova, Republic of",Republic of Moldova,Europe,Eastern Europe,europe_incl_russia,Moldova,"Moldova, Republic of",,Upper middle income
147,Namibia,NAM,no,Namibia,Namibia,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Namibia,Namibia,,Upper middle income
148,Nauru,NRU,no,Nauru,Nauru,Oceania,Oceania,n_america_and_oceania,Nauru,Nauru,,High income
149,Nepal,NPL,no,Nepal,Nepal,South Asia,South Asia,s_and_se_asia,Nepal,Nepal,,Lower middle income
150,Netherlands,NLD,yes,Netherlands,Netherlands,Europe,Western Europe,europe_incl_russia,Netherlands,Netherlands,,High income
151,Netherlands Antilles (former),ANT,no,Netherlands Antilles (former),Netherlands Antilles,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,Netherlands Antiles,,Unclassified
153,New Caledonia,NCL,no,New Caledonia,New Caledonia,Oceania,Oceania,n_america_and_oceania,New Caledonia,New Caledonia,,High income
154,North Macedonia,MKD,no,North Macedonia,The former Yugoslav Republic of Macedonia,Europe,Western Europe,europe_incl_russia,"Macedonia , The Former Yugoslav Republic of","Macedonia,The Fmr Yug Rp",,Upper middle income
155,Vanuatu,VUT,no,Vanuatu,Vanuatu,Oceania,Oceania,n_america_and_oceania,Vanuatu,Vanuatu,,Lower middle income
156,New Zealand,NZL,yes,New Zealand,New Zealand,Oceania,Oceania,n_america_and_oceania,New Zealand,New Zealand,,High income
157,Nicaragua,NIC,no,Nicaragua,Nicaragua,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Nicaragua,Nicaragua,,Lower middle income
158,Niger,NER,no,Niger,Niger,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Niger,Niger,,Low income
159,Nigeria,NGA,no,Nigeria,Nigeria,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Nigeria,Nigeria,,Lower middle income
160,Niue,NIU,no,Niue,Niue,Oceania,Oceania,n_america_and_oceania,Niue,Niue,,Unclassified
162,Norway,NOR,yes,Norway,Norway ,Europe,Western Europe,europe_incl_russia,Norway,Norway,,High income
163,Northern Mariana Islands,MNP,no,Northern Mariana Is.,Northern Mariana Islands,Oceania,Oceania,n_america_and_oceania,,,,High income
165,Pakistan,PAK,no,Pakistan,Pakistan,South Asia,South Asia,s_and_se_asia,Pakistan,Pakistan,,Lower middle income
166,Panama,PAN,no,Panama,Panama,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Panama,Panama,,Upper middle income
167,Czechia,CZE,yes,Czechia,Czechia,Europe,Eastern Europe,europe_incl_russia,Czech Republic,Czech Republic,,High income
168,Papua New Guinea,PNG,no,Papua New Guinea,Papua New Guinea,Oceania,Oceania,n_america_and_oceania,Papua New Guinea,Papua New Guinea,,Lower middle income
169,Paraguay,PRY,no,Paraguay,Paraguay,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Paraguay,Paraguay,,Upper middle income
170,Peru,PER,no,Peru,Peru,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Peru,Peru,,Upper middle income
171,Philippines,PHL,no,Philippines,Philippines,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Philippines,Philippines,,Lower middle income
173,Poland,POL,yes,Poland,Poland,Europe,Eastern Europe,europe_incl_russia,Poland,Poland,,High income
174,Portugal,PRT,yes,Portugal,Portugal,Europe,Western Europe,europe_incl_russia,Portugal,Portugal,,High income
175,Guinea-Bissau,GNB,no,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Guinea-Bissau,Guinea-Bissau,,Low income
176,Timor-Leste,TLS,no,Timor-Leste,Timor-Leste,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,East Timor,East Timor   ,,Lower middle income
177,Puerto Rico,PRI,no,Puerto Rico,Puerto Rico,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Puerto Rico,,,High income
178,Eritrea,ERI,no,Eritrea,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Eritrea,Eritrea,,Low income
179,Qatar,QAT,no,Qatar,Qatar,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Qatar,Qatar,,High income
180,Palau,PLW,no,Palau,Palau,Oceania,Oceania,n_america_and_oceania,,Palau,,High income
181,Zimbabwe,ZWE,no,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Zimbabwe,Zimbabwe,,Lower middle income
182,Réunion,REU,no,Réunion,Réunion,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Réunion,Réunion,,Unclassified
183,Romania,ROU,no,Romania,Romania,Europe,Eastern Europe,europe_incl_russia,Romania,Romania,,Upper middle income
184,Rwanda,RWA,no,Rwanda,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Rwanda,Rwanda,,Low income
185,Russian Federation,RUS,no,Russian Federation,Russian Federation,Russian Federation,Russian Federation,europe_incl_russia,Russian Federation,Russian Federation,,Upper middle income
187,"Saint Helena, Ascension and Tristan da Cunha",SHN,no,Saint Helena,Saint Helena,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,,,,Unclassified
188,Saint Kitts and Nevis,KNA,no,Saint Kitts and Nevis,Saint Kitts and Nevis,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Saint Kitts and Nevis,Saint Kitts and Nevis,,High income
189,Saint Lucia,LCA,no,Saint Lucia,Saint Lucia,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Saint Lucia,Saint Lucia,,Upper middle income
190,Saint Pierre and Miquelon,SPM,no,St. Pierre and Miquelon,Saint Pierre et Miquelon,Oceania,Oceania,n_america_and_oceania,Saint Pierre and Miquelon,,,Unclassified
191,Saint Vincent and the Grenadines,VCT,no,Saint Vincent/Grenadines,Saint Vincent and the Grenadines,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Saint Vincent and Grenadines,Saint Vincent/Grenadines,,Upper middle income
192,San Marino,SMR,no,San Marino,San Marino,Europe,Western Europe,europe_incl_russia,,,,High income
193,Sao Tome and Principe,STP,no,Sao Tome and Principe,Sao Tome and Principe,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Sao Tome and Principe,Sao Tome and Principe,,Lower middle income
194,Saudi Arabia,SAU,no,Saudi Arabia,Saudi Arabia,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Saudi Arabia,Saudi Arabia,,High income
195,Senegal,SEN,no,Senegal,Senegal,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Senegal,Senegal,,Lower middle income
196,Seychelles,SYC,no,Seychelles,Seychelles,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Seychelles,Seychelles,,High income
197,Sierra Leone,SLE,no,Sierra Leone,Sierra Leone,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Sierra Leone,Sierra Leone,,Low income
198,Slovenia,SVN,yes,Slovenia,Slovenia,Europe,Western Europe,europe_incl_russia,Slovenia,Slovenia,,High income
199,Slovakia,SVK,yes,Slovakia,Slovakia,Europe,Eastern Europe,europe_incl_russia,Slovakia,Slovakia,,High income
200,Singapore,SGP,no,Singapore,Singapore,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Singapore,Singapore,,High income
201,Somalia,SOM,no,Somalia,Somalia ,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Somalia,Somalia,,Low income
202,South Africa,ZAF,no,South Africa,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,South Africa,South Africa,,Upper middle income
203,Spain,ESP,yes,Spain,Spain,Europe,Western Europe,europe_incl_russia,Spain,Spain,,High income
205,Western Sahara,ESH,no,Western Sahara,Western Sahara,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Western Sahara,,Disputed w/Morocco,Unclassified
206,Sudan (former),,no,Sudan (former),Sudan,Near East and North Africa,Near East and North Africa,sub_saharan_africa,Sudan,Sudan,,Unclassified
207,Suriname,SUR,no,Suriname,Suriname,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Suriname,Suriname,,Upper middle income
208,Tajikistan,TJK,no,Tajikistan,Tajikistan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Tajikistan,Tajikistan,,Lower middle income
209,Eswatini,SWZ,no,Eswatini,Swaziland,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Swaziland,Swaziland,,Lower middle income
210,Sweden,SWE,yes,Sweden,Sweden,Europe,Western Europe,europe_incl_russia,Sweden,Sweden,,High income
