region,income_class,food_group,footprint_type,origin,footprint
Near East and North Africa,Lower middle income,Sheep & goat,mg_abx_total,Imported,0.0020509998480913996
Near East and North Africa,Upper middle income,Aquatic animals,mg_abx_total,Imported,0.0076975061329979284
Near East and North Africa,Upper middle income,Bovine meat,mg_abx_total,Imported,0.02842754119876067
Near East and North Africa,Upper middle income,Pig meat,mg_abx_total,Imported,0.015629357548368007
Near East and North Africa,Upper middle income,Plant foods,mg_abx_total,Imported,0.006944681441146652
Near East and North Africa,Upper middle income,Poultry meat,mg_abx_total,Imported,0.025668620966380215
Near East and North Africa,Upper middle income,Sheep & goat,mg_abx_total,Imported,0.00968104007999306
North America,High income,Aquatic animals,mg_abx_total,Imported,0.19766998220559506
North America,High income,Bovine meat,mg_abx_total,Imported,0.1848507396870209
North America,High income,Pig meat,mg_abx_total,Imported,0.11861176622449715
North America,High income,Plant foods,mg_abx_total,Imported,0.024083491312699178
North America,High income,Poultry meat,mg_abx_total,Imported,0.007558123497625239
North America,High income,Sheep & goat,mg_abx_total,Imported,0.06382213997442927
Oceania,High income,Aquatic animals,mg_abx_total,Imported,0.011904618400133144
Oceania,High income,Bovine meat,mg_abx_total,Imported,0.0036022911071421555
Oceania,High income,Pig meat,mg_abx_total,Imported,0.037409966813218364
Oceania,High income,Plant foods,mg_abx_total,Imported,0.000651479614903098
Oceania,High income,Poultry meat,mg_abx_total,Imported,0.0007949183091629693
Oceania,High income,Sheep & goat,mg_abx_total,Imported,0.0019722254749065574
Oceania,Lower middle income,Aquatic animals,mg_abx_total,Imported,0.00027389990751432554
Oceania,Lower middle income,Bovine meat,mg_abx_total,Imported,0.0008499869090190415
Oceania,Lower middle income,Pig meat,mg_abx_total,Imported,0.003715582382796376
Oceania,Lower middle income,Plant foods,mg_abx_total,Imported,0.00022143631494466053
Oceania,Lower middle income,Poultry meat,mg_abx_total,Imported,0.0029803173387076987
Oceania,Lower middle income,Sheep & goat,mg_abx_total,Imported,0.01089260724045041
Oceania,Upper middle income,Aquatic animals,mg_abx_total,Imported,7.32926441715675e-05
Oceania,Upper middle income,Bovine meat,mg_abx_total,Imported,0.00013207840410851167
Oceania,Upper middle income,Pig meat,mg_abx_total,Imported,0.0
Oceania,Upper middle income,Plant foods,mg_abx_total,Imported,4.846841679010741e-05
Oceania,Upper middle income,Poultry meat,mg_abx_total,Imported,1.6146295786674065e-05
Oceania,Upper middle income,Sheep & goat,mg_abx_total,Imported,0.001451054000624074
Russia,Upper middle income,Aquatic animals,mg_abx_total,Imported,0.0208491867506365
Russia,Upper middle income,Bovine meat,mg_abx_total,Imported,0.04179794283293798
Russia,Upper middle income,Pig meat,mg_abx_total,Imported,0.0634065511253826
Russia,Upper middle income,Plant foods,mg_abx_total,Imported,0.006589231963447768
Russia,Upper middle income,Poultry meat,mg_abx_total,Imported,0.011684207594714289
Russia,Upper middle income,Sheep & goat,mg_abx_total,Imported,0.0011995339644558622
South Asia,Low income / unclassified,Aquatic animals,mg_abx_total,Imported,0.0
South Asia,Low income / unclassified,Bovine meat,mg_abx_total,Imported,0.0011051154437954104
South Asia,Low income / unclassified,Pig meat,mg_abx_total,Imported,4.569094224736512e-05
South Asia,Low income / unclassified,Plant foods,mg_abx_total,Imported,0.0008883275088774832
South Asia,Low income / unclassified,Poultry meat,mg_abx_total,Imported,0.0011464337491676796
South Asia,Low income / unclassified,Sheep & goat,mg_abx_total,Imported,0.0
South Asia,Lower middle income,Aquatic animals,mg_abx_total,Imported,0.01564701681270512
South Asia,Lower middle income,Bovine meat,mg_abx_total,Imported,0.014551791557336127
South Asia,Lower middle income,Pig meat,mg_abx_total,Imported,0.00014245378141469745
South Asia,Lower middle income,Plant foods,mg_abx_total,Imported,0.010190152009572554
South Asia,Lower middle income,Poultry meat,mg_abx_total,Imported,0.0002986174907296915
South Asia,Lower middle income,Sheep & goat,mg_abx_total,Imported,0.010789948783422806
South Asia,Upper middle income,Aquatic animals,mg_abx_total,Imported,6.817473187983204e-05
South Asia,Upper middle income,Bovine meat,mg_abx_total,Imported,0.0005809838511858899
South Asia,Upper middle income,Pig meat,mg_abx_total,Imported,6.137682663741271e-05
South Asia,Upper middle income,Plant foods,mg_abx_total,Imported,5.471701991054012e-05
South Asia,Upper middle income,Poultry meat,mg_abx_total,Imported,0.00031016911165925325
South Asia,Upper middle income,Sheep & goat,mg_abx_total,Imported,0.00028514811820672424
Sub-Saharan Africa,High income,Aquatic animals,mg_abx_total,Imported,1.6683213587966106e-05
Sub-Saharan Africa,High income,Bovine meat,mg_abx_total,Imported,0.00010170366224431319
Sub-Saharan Africa,High income,Pig meat,mg_abx_total,Imported,0.00013843292695770904
Sub-Saharan Africa,High income,Plant foods,mg_abx_total,Imported,9.230869941777472e-06
Sub-Saharan Africa,High income,Poultry meat,mg_abx_total,Imported,8.159089713333539e-05
Sub-Saharan Africa,High income,Sheep & goat,mg_abx_total,Imported,0.00011714152126709729
Sub-Saharan Africa,Low income / unclassified,Aquatic animals,mg_abx_total,Imported,0.00905041904095579
Sub-Saharan Africa,Low income / unclassified,Bovine meat,mg_abx_total,Imported,0.0019407262044953254
Sub-Saharan Africa,Low income / unclassified,Pig meat,mg_abx_total,Imported,0.009224114142269075
Sub-Saharan Africa,Low income / unclassified,Plant foods,mg_abx_total,Imported,0.004098873747379922
Sub-Saharan Africa,Low income / unclassified,Poultry meat,mg_abx_total,Imported,0.008790248608343421
Sub-Saharan Africa,Low income / unclassified,Sheep & goat,mg_abx_total,Imported,0.0
Sub-Saharan Africa,Lower middle income,Aquatic animals,mg_abx_total,Imported,0.02940211129393657
Sub-Saharan Africa,Lower middle income,Bovine meat,mg_abx_total,Imported,0.007734028538850415
Sub-Saharan Africa,Lower middle income,Pig meat,mg_abx_total,Imported,0.037295555368536466
Sub-Saharan Africa,Lower middle income,Plant foods,mg_abx_total,Imported,0.0067410749635498065
Sub-Saharan Africa,Lower middle income,Poultry meat,mg_abx_total,Imported,0.026078232656904874
Sub-Saharan Africa,Lower middle income,Sheep & goat,mg_abx_total,Imported,0.001038074165802437
Sub-Saharan Africa,Upper middle income,Aquatic animals,mg_abx_total,Imported,0.004927657077697168
Sub-Saharan Africa,Upper middle income,Bovine meat,mg_abx_total,Imported,0.0034559877627151733
Sub-Saharan Africa,Upper middle income,Pig meat,mg_abx_total,Imported,0.00568566919883352
Sub-Saharan Africa,Upper middle income,Plant foods,mg_abx_total,Imported,0.0013943447621570923
Sub-Saharan Africa,Upper middle income,Poultry meat,mg_abx_total,Imported,0.020847884272589705
Sub-Saharan Africa,Upper middle income,Sheep & goat,mg_abx_total,Imported,0.004894662680728879
